我的频道,#genre#
汕头经济生活,http://2099.tv12.xyz/978_1765458765714.m3u8
CCTV1,http://192.168.10.100:27514/608807420
CCTV2,http://192.168.10.100:27514/631780532
CCTV3,http://192.168.10.100:27514/624878271
CCTV4,http://192.168.10.100:27514/631780421
CCTV5,http://192.168.10.100:27514/641886683
CCTV5+,http://192.168.10.100:27514/641886773
CCTV6,http://192.168.10.100:27514/624878396
CCTV7,http://192.168.10.100:27514/673168121
CCTV8,http://192.168.10.100:27514/624878356
CCTV9,http://192.168.10.100:27514/673168140
CCTV10,http://192.168.10.100:27514/624878405
CCTV11,http://192.168.10.100:27514/667987558
CCTV12,http://192.168.10.100:27514/673168185
CCTV13,http://192.168.10.100:27514/608807423
CCTV14,http://192.168.10.100:27514/624878440
CCTV15,http://192.168.10.100:27514/673168223
CCTV17,http://192.168.10.100:27514/673168256
CCTV6,http://192.168.10.100:27514/624878396
CCTV6,http://192.168.10.100:27514/624878396
东方卫视,http://192.168.10.100:27514/651632648
江苏卫视,http://192.168.10.100:27514/623899368
广东卫视,http://192.168.10.100:27514/608831231
北京卫视,http://192.168.10.100:27514/630287636
江西卫视,http://192.168.10.100:27514/783847495
河南卫视,http://192.168.10.100:27514/790187291
陕西卫视,http://192.168.10.100:27514/738910838
大湾区卫视,http://192.168.10.100:27514/608917627
湖北卫视,http://192.168.10.100:27514/947472496
吉林卫视,http://192.168.10.100:27514/947472500
青海卫视,http://192.168.10.100:27514/947472506
东南卫视,http://192.168.10.100:27514/849116810
海南卫视,http://192.168.10.100:27514/947472502
海峡卫视,http://192.168.10.100:27514/849119120
中国农林卫视,http://192.168.10.100:27514/956904896
兵团卫视,http://192.168.10.100:27514/956923145
辽宁卫视,http://192.168.10.100:27514/630291707
宁夏卫视,http://192.168.10.100:27514/738910535
重庆卫视,http://192.168.10.100:27514/738910914
三沙卫视,http://192.168.10.100:27514/961023778
经典香港电影,http://192.168.10.100:27514/625703337
抗战经典影片,http://192.168.10.100:27514/617432318
新片放映厅,http://192.168.10.100:27514/619495952
CHC影迷电影,http://192.168.10.100:27514/952383261
CHC动作电影,http://192.168.10.100:27514/644368714
CHC家庭影院,http://192.168.10.100:27514/644368373
和美乡途轮播台,http://192.168.10.100:27514/713591450
南方影视,http://192.168.10.100:27514/614961829
汕头综合,http://2099.tv12.xyz/977_1765458765714.m3u8
汕头文旅体育,http://2099.tv12.xyz/979_1765458765714.m3u8
